"","V1","V2"
"enlarged",77.334363757593,153
"enm",20.1377819856342,39
"entire",80.4745407224598,186
"epandrial",22.6131799289777,49
"epandrium",82.8047218239758,244
"epigyne",79.7534162843803,246
"epigynum",112.845920807934,344
"epimetopus",94.315197845092,81
"epistome",39.5052116035259,57
"equals",81.8419508797313,74
"estimate",25.6061309786476,48
"etymology",44.5718917669079,44
"eudorella",25.8023900159482,36
"everted",37.9680209421347,45
"eviota",59.6640018659644,41
"examined",102.995557252473,147
"except",58.7745973597889,118
"exopod",21.8812524224553,45
"expanded",21.5165864482381,42
"explanation",48.6137241417901,83
"extending",21.0407517329415,52
"extension",17.707954000657,42
"exterior",98.902641808555,195
"external",715.786834745044,483
"eye",69.5156888696407,140
"eyes",58.5049158890211,135
"fabricius",50.1325662422349,46
"face",272.321007352765,626
"families",44.4263781948762,38
"family",44.6497034022035,53
"features",24.9175336827244,50
"female",907.7353378713,5668
"females",151.299610143556,212
"femur",83.0751889413446,233
"field",65.4328378708045,133
"fifth",52.4825683713319,132
"fig",348.872164093153,868
"figs",142.48339319149,364
"figures",807.344662204015,5646
"fin",83.5235938231233,138
"finger",24.0026058964454,53
"first",187.359452347992,561
"five",28.4416511653173,41
"flagellomere",38.3256856918686,86
"flagellomeres",31.0281796761932,58
"flagellum",40.2522193626845,85
"fmnh",77.3727945105838,64
"foot",52.3508717458686,82
"fore",131.99297972506,439
"foreleg",23.6499771596441,49
"forest",88.2077254569971,112
"forewing",64.9815147950129,112
"form",78.7506638863776,105
"found",63.6706639046484,70
"four",67.8212304911103,89
"fourth",41.3643921307654,111
"fresh",65.6174111268115,78
"frons",28.7473404656652,67
"front",120.113168934862,253
"frontal",211.738569584024,856
"full",105.134373965313,230
"furca",19.1282763816244,44
"gamasomorpha",16.6797964138019,48
"gen",212.183187793095,463
"genera",51.8972476801567,47
"general",83.0638522092712,155
"generic",27.0869815436951,68
"genital",150.864872797634,514
"genitalia",425.105413820902,1751
"genus",171.448772222401,266
"geographic",178.86114987033,148
"gill",44.7718513710192,59
"girdle",55.7858049696851,73
"gland",51.1722837833264,93
"glandular",25.9019930315144,48
"gnathia",35.3557915985861,48
"gnathosoma",67.6629998581248,124
"gonocoxite",44.4435619250218,81
"gonopod",36.1737532847813,99
"gonopods",24.644650725213,62
"gonostylus",53.4288453481982,128
"grande",36.2161924293512,57
"gray",48.9693681209055,72
"groove",30.363407619224,78
"group",205.892691265178,360
"groups",35.5309997933032,46
"guinea",28.670053295765,44
"gulf",47.0154375997207,43
"habitat",127.36052315311,126
"habitus",637.734230580103,2148
"hairs",33.1916537659859,45
"half",56.7929887799046,123
"hand",56.0913409674118,91
"head",567.563503028434,2893
"heads",33.9824510208114,36
"height",53.1279098215293,87
"hind",126.451738182439,439
"holotype",834.013484682981,4712
"holotypes",55.1935457003927,45
"hook",29.7887859922472,71
"hooks",36.3647866974865,85
"host",68.4247956135642,76
"hyloscirtus",25.2684873890542,38
"hypandrial",185.536516221729,173
"hypandrium",48.2241132498146,122
"hypopygium",146.384922166757,270
"idiosoma",146.050810265115,214
"idiosomal",51.6261477586996,96
"illustrated",60.4587766735254,72
"illustrating",35.0896482684484,42
"illustration",64.6803749494587,69
"illustrations",41.7026695305352,41
"image",54.0807197066934,81
"images",113.667177312593,238
"imago",21.0124715776338,40
"immature",37.1887286368806,46
"including",31.3558656461755,42
"india",74.2701573051816,92
"indicate",82.676164621775,179
"indicated",70.9429566354088,126
"indicates",88.1436227250703,186
"indicating",39.4876651733214,76
"individual",53.0595886787524,78
"individuals",48.4905544982664,60
"indonesia",78.0264702586928,102
"inferior",26.9468924173352,56
"inner",93.6807817614129,292
"inset",36.8458742683289,52
"inside",32.57670618599,49
"instar",155.695224032928,364
"interior",80.6894166766129,148
"internal",106.578327299708,342
"isla",27.5467922450469,39
"island",183.479963857499,266
"islands",125.833811036562,179
"japan",70.4227745422654,117
"japonicus",61.2370209777894,76
"jaw",28.7094244012375,43
"junction",27.5651295553828,60
"juvenile",90.3125116758964,145
"key",61.5827295995544,68
"kishinouye",41.8457321748566,35
"kmma",27.3970698135453,66
"known",155.702759006966,168
"korea",43.6860883966826,55
"labels",133.315668960786,222
"labial",36.8963964101718,88
"labium",62.6675588947016,183
